Genome_1	Genome_2	AAI	Stdev_AAI	Genes_Shared	Genes_Shared_Normalized_by_Genome_1_Genes
GCA_004322775.1_ASM432277v1.faa	GCA_003351765.1_ASM335176v1.faa	70.5645867768595	15.117395304632273	2420	0.6395348837209303
GCA_004322775.1_ASM432277v1.faa	GCA_001302585.1_ASM130258v1.faa	49.19582712369598	13.474952187491738	2013	0.5319767441860465
GCA_004322775.1_ASM432277v1.faa	GCA_009707485.1_ASM970748v1.faa	57.218316268486916	16.050432934693553	1758	0.4645877378435518
GCA_004322775.1_ASM432277v1.faa	GCA_003096095.1_ASM309609v1.faa	48.75022250476796	13.397361984979245	1573	0.41569767441860467
GCA_004322775.1_ASM432277v1.faa	GCA_003574835.2_ASM357483v2.faa	49.784701055099646	13.874585528089431	1706	0.45084566596194503
GCA_004322775.1_ASM432277v1.faa	GCA_023923225.1_ASM2392322v1.faa	62.684270134228186	15.693500531428109	2384	0.6300211416490487
GCA_004322775.1_ASM432277v1.faa	GCA_013201035.1_ASM1320103v1.faa	56.32184317718941	15.277459230308002	1964	0.5190274841437632
GCA_004322775.1_ASM432277v1.faa	GCA_014126825.1_ASM1412682v1.faa	49.45472703062583	13.296502909874468	1502	0.39693446088794926
GCA_004322775.1_ASM432277v1.faa	GCA_011801145.1_ASM1180114v1.faa	48.10339832869081	13.571095449528759	1795	0.47436575052854124
GCA_004322775.1_ASM432277v1.faa	GCA_019468565.1_ASM1946856v1.faa	49.70407662082515	13.232404127728708	2036	0.5380549682875264
GCA_004322775.1_ASM432277v1.faa	GCA_014084105.1_ASM1408410v1.faa	49.863016759776535	14.063344114597244	1790	0.4730443974630021
GCA_004322775.1_ASM432277v1.faa	GCA_010727475.1_ASM1072747v1.faa	48.51384963256077	13.517786813736567	1769	0.46749471458773784
GCA_004322775.1_ASM432277v1.faa	GCA_024298965.1_ASM2429896v1.faa	49.94194699286442	13.961938093623756	1962	0.5184989429175476
GCA_004322775.1_ASM432277v1.faa	GCA_002943525.1_ASM294352v1.faa	49.80624663435649	13.970816017064758	1857	0.4907505285412262
GCA_004322775.1_ASM432277v1.faa	GCA_900104965.1_IMG_taxon_2634166904_annotated_assembly.faa	51.88824175824176	13.999274079460555	1820	0.4809725158562368
GCA_004322775.1_ASM432277v1.faa	GCA_023614255.1_ASM2361425v1.faa	49.648098765432096	13.871107244765074	2025	0.5351479915433404
GCA_004322775.1_ASM432277v1.faa	GCA_006494775.1_ASM649477v1.faa	51.317842323651455	14.284118401845383	1928	0.5095137420718816
GCA_004322775.1_ASM432277v1.faa	GCA_002057455.1_ASM205745v1.faa	49.48598484848485	13.6306875951365	2112	0.5581395348837209
GCA_004322775.1_ASM432277v1.faa	GCA_017068375.1_ASM1706837v1.faa	48.99911134343962	13.464298999065504	1913	0.5055496828752643
GCA_004322775.1_ASM432277v1.faa	GCA_020715685.1_ASM2071568v1.faa	43.25057803468208	11.188306038053163	1384	0.3657505285412262
GCA_004322775.1_ASM432277v1.faa	GCA_017654315.1_ASM1765431v1.faa	48.46561552456034	13.706797539416527	1649	0.4357822410147992
GCA_004322775.1_ASM432277v1.faa	GCA_018326265.1_ASM1832626v1.faa	49.256193990511335	13.359053838984869	1897	0.5013213530655392
GCA_004322775.1_ASM432277v1.faa	GCA_024703955.1_ASM2470395v1.faa	55.86268823201338	15.229573443741113	1793	0.4738372093023256
GCA_004322775.1_ASM432277v1.faa	GCA_000024865.1_ASM2486v1.faa	49.778486646884275	13.690991670759907	2022	0.5343551797040169
GCA_004322775.1_ASM432277v1.faa	GCA_900105025.1_IMG_taxon_2636416177_annotated_assembly.faa	39.79812080536913	10.423591506997061	745	0.1968816067653277
GCA_004322775.1_ASM432277v1.faa	GCA_900170005.1_PRJEB19975.faa	39.753819444444446	10.636975421301125	864	0.22832980972515857
GCA_004322775.1_ASM432277v1.faa	GCA_001701025.1_ASM170102v1.faa	49.409150657229524	13.40273951818673	1978	0.5227272727272727
GCA_004322775.1_ASM432277v1.faa	GCA_014697215.1_ASM1469721v1.faa	49.21960257787325	13.649954768539901	1862	0.49207188160676535
GCA_004322775.1_ASM432277v1.faa	GCA_011492945.1_ASM1149294v1.faa	41.15295546558704	9.912406347854404	1235	0.3263742071881607
